Airports with ACARS Soundings. Downloaded from: https://rucsoundings.noaa.gov/airports.html

GSD_ID name wmoid  lat     lon   elev(m) Description
1522  AAA      0   43.20   76.90  851 Almaty, Kazakhstan
0590  AAH  42647   23.07   72.63   55 Ahmadabad, IN
2934  AAL      0   57.09    9.85    3 Aalborg, DK
0737  AAO      0   37.75  -97.22  432 Wichita/Jabara, KS
0732  AAT      0   41.48 -119.45 1333 Alturas, CA
0537  ABB      0   19.10   72.80    3 Bombay
2249  ABE      0   40.65  -75.44  120 Lehigh Valley International
0001  ABI  72266   32.42  -99.68  546 Abilene, TX
0002  ABQ  72365   35.05 -106.62 1619 Albuquerque, NM
2248  ABR      0   45.45  -98.42  396 Aberdeen Regional
0003  ABY  72216   31.53  -84.18   59 Albany, GA
0551  ACA  76805   16.75  -99.77    5 Acapulco, GR
0004  ACT  72256   31.62  -97.22  155 Waco/Mdsn Cooper, TX
1589  ADW  74594   38.82  -76.87   86 Andrews AFB, MD
0601  AEX  74754   31.33  -92.55   27 Alexandria Intl, LA
0798  AEZ  87576  -34.82  -58.53   20 Buenos Aires, EZ
0337  AFA      0   32.98  -97.32  220 Fort Worth/Alliance, TX
0804  AGS  72218   33.37  -81.97   45 Augusta, GA
2852  AKB      0   52.20 -174.20   17 ATKA, AK
0273  AKL  93110  -37.02  174.82    6 Auckland Intl., NZ
0416  AKM  68438  -28.80   24.77 1192 Kimberley, SA
2833  AKN  70326   58.68 -156.65   15 KING SALMON, AK
0607  AKO      0   40.17 -103.22 1431 Akron, CO
0527  AKP      0   68.13 -151.73  640 Anaktuvuk Pass, AK
0686  AKR      0   41.04  -81.47  325 Akron Fulton Arpt, OH
0005  ALB  72518   42.75  -73.80   86 Albany, NY
2246  ALO      0   42.56  -92.40  266 Waterloo Muni
0006  ALS  72462   37.45 -105.87 2299 Alamosa, CO
1152  ALT  72219   33.65  -84.42  315 Atlanta, GA
0007  AMA  72363   35.23 -101.70 1094 Amarillo, TX
0314  AMS   6240   52.30    4.77    2 Amsterdam/Schip, NL
0008  ANC  70273   61.17 -150.02   45 Anchorage Int'L, AK
2831  ANI  70232   61.59 -159.54   26 ANIAK, AK
0488  APA      0   39.57 -104.85 1790 Denver/Centennial, CO
2245  APN      0   45.08  -83.56  210 Alpena County Regional
0613  ARA      0   30.03  -91.88    7 New Iberia, LA
2244  ASE      0   39.22 -106.87 2383 Aspen-Pitkin Co, CO
0009  ATL  72219   33.65  -84.42  315 Atlanta, GA
0703  ATW      0   44.25  -88.52  280 Appleton, WI
2242  ATY      0   44.91  -97.15  532 Watertown Muni
0010  AUS  72254   30.30  -97.70  189 Austin/Mueller, TX
0743  AVL  72315   35.43  -82.55  661 Asheville Rgnl, NC
2241  AZO      0   42.23  -85.55  266 Kalamazoo/Battle Creek International
1491  BAA  54511   40.08  116.60   35 Beijing/Peking, CI
0364  BBB      0   40.47   50.05    3 Bina/Baku, Azerbaijan
0344  BBG  15655   42.48   27.48   28 Burgas, Bulgaria
2326  BBI      0   26.27   50.63    2 Bahrain, Bahrain
0372  BBL   6479   51.17    5.47   64 Kleine-Brogel, BX
0011  BDL  72508   41.93  -72.68   55 Bradley/Hartford, CT
0012  BDR  72504   41.17  -73.13    5 Bridgeport/Skrsk, CT
0013  BFI  90001   47.53 -122.30    5 Seattle/Boeing, WA
0294  BFM      0   30.63  -88.07    8 Mobile/Brookley, AL
2839  BGL  83746  -22.82  -43.25    6 Rio De Janeiro Intl, BZ
2240  BGM      0   42.21  -75.98  498 Binghamton Regional/Link Field, NY
0742  BGR      0   44.80  -68.83   59 Bangor, ME
0930 BGSF      0   67.00  -50.90   50 Sondre-Stromfjord
0014  BHM  72228   33.47  -86.83  227 Birmingham, AL
